cohort	cancer_type	source	n_tumor	n_normal	n_genes_tested	n_sig_joint	prolif_lfc	ref_cohort	ref_spearman	n_common_ref	qc_prolif	qc_ref	qc_pass
SRP023262	BRCA	sra	24	28	14373	1559	1.8651343970969658	TCGA-BRCA	0.6871535566825755	14318	True	True	True
SRP058722	BRCA	sra	25	10	16567	6341	3.537179089278661	TCGA-BRCA	0.11458169655555282	16417	True	True	True
SRP062132	BRCA	sra	15	18	17037	6	0.19403094326013987	TCGA-BRCA	0.40822620822440003	16675	True	True	True
SRP111343	BRCA	sra	58	45	16421	1546	2.0966689420231925	TCGA-BRCA	0.7731383916431601	16376	True	True	True
SRP116023	BRCA	sra	22	22	16739	2941	1.588503469713861	TCGA-BRCA	0.8022642840189338	16435	True	True	True
SRP156355	BRCA	sra	13	11	17666	1719	1.8289660804662236	TCGA-BRCA	0.631400251973414	16887	True	True	True
SRP157974	BRCA	sra	360	88	16585	3495	3.155110394100801	TCGA-BRCA	0.7421504963615796	16350	True	True	True
SRP218935	BRCA	sra	76	19	17058	3344	2.8184532888220453	TCGA-BRCA	0.545428805486949	16703	True	True	True
TCGA-BRCA	BRCA	tcga	1135	114	17081	4117	3.212854605177207			0	True	True	True
SRP029880	COAD	sra	36	18	16445	2990	1.2399946771635204	TCGA-COAD	0.8300916597076081	16176	True	True	True
SRP119775	COAD	sra	10	10	17321	2969	1.6420875829084927	TCGA-COAD	0.7944908483575774	16437	True	True	True
TCGA-COAD	COAD	tcga	504	41	16566	4341	1.4567719198288753			0	True	True	True
ERP013206	ESCA	sra	44	18	15593	5495	0.6752869337857589	TCGA-ESCA	-0.07399934792622587	15569	True	False	False
SRP064894	ESCA	sra	15	14	16426	3699	1.7430630990523457	TCGA-ESCA	0.48421664782790586	16390	True	True	True
SRP099599	ESCA	sra	46	46	1626	263	0.6815833766417817	TCGA-ESCA	0.23077580062607864	1623	True	True	True
TCGA-ESCA	ESCA	tcga	184	13	17634	3750	2.1213343339643176			0	True	True	True
SRP114482	KIRC	sra	10	10	17314	4701	2.0297147434759	TCGA-KIRC	0.820747893570957	16907	True	True	True
TCGA-KIRC	KIRC	tcga	545	72	16967	4581	2.2263223545650974			0	True	True	True
SRP039694	LIHC	sra	8	8	16625	1845	2.061154598363569	TCGA-LIHC	0.7058361123330259	16147	True	True	True
SRP049592	LIHC	sra	10	9	16728	4535	1.7644497713835556	TCGA-LIHC	0.5282062219316506	16127	True	True	True
SRP050551	LIHC	sra	12	12	15968	3098	2.6834357913957807	TCGA-LIHC	0.7969538309144476	15843	True	True	True
SRP062885	LIHC	sra	16	16	16024	3708	3.3352061478479533	TCGA-LIHC	0.7574985368367035	15860	True	True	True
SRP068976	LIHC	sra	49	50	16012	3811	3.7035402650025073	TCGA-LIHC	0.8035469236979594	15872	True	True	True
