cohort	source	cancer_type	n_tumor	n_normal	platform	layout	study_title
TCGA-BRCA	tcga	BRCA	1135	114	Illumina HiSeq	paired	TCGA BRCA
SRP157974	sra	BRCA	360	88	HiSeq X Ten	paired	Fudan University Shanghai Cancer Center Triple Negative Breast Cancer (FUSCCTNBC)
SRP218935	sra	BRCA	76	19	Illumina HiSeq X Ten	paired	Homo sapiens Raw sequence reads
SRP111343	sra	BRCA	58	45	Illumina HiSeq 2000	single	RNAseq analysis of chemotherapy and radiation therapy-naïve breast tumors
SRP058722	sra	BRCA	25	10	Illumina HiSeq 2000	paired	A Molecular Portrait Of High-Grade Ductal Carcinoma In Situ (DCIS) [RNA-seq]
SRP023262	sra	BRCA	24	28	Illumina Genome Analyzer IIx	single	A shared transcriptional program in early breast neoplasias despite genetic and clinical distinctions
SRP116023	sra	BRCA	22	22	Illumina HiSeq 2000	paired	Stranded RNASeq of human mammary primary tumors ER+ and paired adjacent healthy tissues
SRP062132	sra	BRCA	15	18	Illumina Genome Analyzer II	paired	Next Generation Sequencing Transcriptomes of breast cancer
SRP156355	sra	BRCA	13	11	Illumina HiSeq 2500	paired	Identification of lncRNA in early stage breast cancer and their prognostic implications
TCGA-COAD	tcga	COAD	504	41	Illumina HiSeq	paired	TCGA COAD
SRP029880	sra	COAD	36	18	Illumina HiSeq 2000	paired	Gene expression profiling study by RNA-seq in colorectal cancer
SRP119775	sra	COAD	10	10	Illumina HiSeq 3000	paired	Differentially expressed LncRNAs and mRNA identified by SEQ analysis in colorectal cancer patients
TCGA-ESCA	tcga	ESCA	184	13	Illumina HiSeq	paired	TCGA ESCA
SRP099599	sra	ESCA	46	46	Illumina MiSeq	paired	RNA sequencing of Esophageal adenocarcinomas
ERP013206	sra	ESCA	44	18	Illumina HiSeq 2500	paired	Whole transcriptome profiling of Esophageal adenocarcinoma and Barrett's
SRP064894	sra	ESCA	15	14	Illumina HiSeq 2500	paired	Homo sapiens Raw sequence reads
TCGA-KIRC	tcga	KIRC	545	72	Illumina HiSeq	paired	TCGA KIRC
SRP114482	sra	KIRC	10	10	Illumina HiSeq 2000	paired	Transcriptomics profiles of patient-matched normal kidney and ccRCC pairs
TCGA-LIHC	tcga	LIHC	374	50	Illumina HiSeq	paired	TCGA LIHC
SRP068976	sra	LIHC	49	50	Illumina Genome Analyzer	paired	RNA-seq of 50 paired hepatocellular carcinoma
SRP174991	sra	LIHC	35	35	HiSeq X Ten	paired	Gene expression profiles of 35 paired HCC and non-tumor tissues by RNA-seq data
