cancer_type	discovery	replication
BRCA	TCGA-BRCA	SRP157974
BRCA	TCGA-BRCA	SRP218935
BRCA	TCGA-BRCA	SRP111343
BRCA	TCGA-BRCA	SRP058722
BRCA	TCGA-BRCA	SRP023262
BRCA	TCGA-BRCA	SRP116023
BRCA	TCGA-BRCA	SRP062132
BRCA	TCGA-BRCA	SRP156355
BRCA	SRP157974	TCGA-BRCA
BRCA	SRP157974	SRP218935
BRCA	SRP157974	SRP111343
BRCA	SRP157974	SRP058722
BRCA	SRP157974	SRP023262
BRCA	SRP157974	SRP116023
BRCA	SRP157974	SRP062132
BRCA	SRP157974	SRP156355
BRCA	SRP218935	TCGA-BRCA
BRCA	SRP218935	SRP157974
BRCA	SRP218935	SRP111343
BRCA	SRP218935	SRP058722
BRCA	SRP218935	SRP023262
BRCA	SRP218935	SRP116023
BRCA	SRP218935	SRP062132
BRCA	SRP218935	SRP156355
BRCA	SRP111343	TCGA-BRCA
BRCA	SRP111343	SRP157974
BRCA	SRP111343	SRP218935
BRCA	SRP111343	SRP058722
BRCA	SRP111343	SRP023262
BRCA	SRP111343	SRP116023
BRCA	SRP111343	SRP062132
BRCA	SRP111343	SRP156355
BRCA	SRP058722	TCGA-BRCA
BRCA	SRP058722	SRP157974
BRCA	SRP058722	SRP218935
BRCA	SRP058722	SRP111343
BRCA	SRP058722	SRP023262
BRCA	SRP058722	SRP116023
BRCA	SRP058722	SRP062132
BRCA	SRP058722	SRP156355
BRCA	SRP023262	TCGA-BRCA
BRCA	SRP023262	SRP157974
BRCA	SRP023262	SRP218935
BRCA	SRP023262	SRP111343
BRCA	SRP023262	SRP058722
BRCA	SRP023262	SRP116023
BRCA	SRP023262	SRP062132
BRCA	SRP023262	SRP156355
BRCA	SRP116023	TCGA-BRCA
BRCA	SRP116023	SRP157974
BRCA	SRP116023	SRP218935
BRCA	SRP116023	SRP111343
BRCA	SRP116023	SRP058722
BRCA	SRP116023	SRP023262
BRCA	SRP116023	SRP062132
BRCA	SRP116023	SRP156355
BRCA	SRP062132	TCGA-BRCA
BRCA	SRP062132	SRP157974
BRCA	SRP062132	SRP218935
BRCA	SRP062132	SRP111343
BRCA	SRP062132	SRP058722
BRCA	SRP062132	SRP023262
BRCA	SRP062132	SRP116023
BRCA	SRP062132	SRP156355
BRCA	SRP156355	TCGA-BRCA
BRCA	SRP156355	SRP157974
BRCA	SRP156355	SRP218935
BRCA	SRP156355	SRP111343
BRCA	SRP156355	SRP058722
BRCA	SRP156355	SRP023262
BRCA	SRP156355	SRP116023
BRCA	SRP156355	SRP062132
COAD	TCGA-COAD	SRP029880
COAD	TCGA-COAD	SRP119775
COAD	SRP029880	TCGA-COAD
COAD	SRP029880	SRP119775
COAD	SRP119775	TCGA-COAD
COAD	SRP119775	SRP029880
ESCA	TCGA-ESCA	SRP099599
ESCA	TCGA-ESCA	ERP013206
ESCA	TCGA-ESCA	SRP064894
ESCA	SRP099599	TCGA-ESCA
ESCA	SRP099599	ERP013206
ESCA	SRP099599	SRP064894
ESCA	ERP013206	TCGA-ESCA
ESCA	ERP013206	SRP099599
ESCA	ERP013206	SRP064894
ESCA	SRP064894	TCGA-ESCA
ESCA	SRP064894	SRP099599
ESCA	SRP064894	ERP013206
KIRC	TCGA-KIRC	SRP114482
KIRC	SRP114482	TCGA-KIRC
LIHC	TCGA-LIHC	SRP068976
LIHC	TCGA-LIHC	SRP174991
LIHC	TCGA-LIHC	SRP099053
LIHC	TCGA-LIHC	SRP062885
LIHC	TCGA-LIHC	SRP050551
LIHC	TCGA-LIHC	SRP118972
LIHC	TCGA-LIHC	SRP137150
LIHC	TCGA-LIHC	SRP161530
LIHC	TCGA-LIHC	SRP049592
LIHC	TCGA-LIHC	SRP102722
LIHC	TCGA-LIHC	SRP039694
LIHC	TCGA-LIHC	SRP076032
LIHC	SRP068976	TCGA-LIHC
LIHC	SRP068976	SRP174991
LIHC	SRP068976	SRP099053
LIHC	SRP068976	SRP062885
LIHC	SRP068976	SRP050551
LIHC	SRP068976	SRP118972
LIHC	SRP068976	SRP137150
LIHC	SRP068976	SRP161530
LIHC	SRP068976	SRP049592
LIHC	SRP068976	SRP102722
LIHC	SRP068976	SRP039694
LIHC	SRP068976	SRP076032
LIHC	SRP174991	TCGA-LIHC
LIHC	SRP174991	SRP068976
LIHC	SRP174991	SRP099053
LIHC	SRP174991	SRP062885
LIHC	SRP174991	SRP050551
LIHC	SRP174991	SRP118972
LIHC	SRP174991	SRP137150
LIHC	SRP174991	SRP161530
LIHC	SRP174991	SRP049592
LIHC	SRP174991	SRP102722
LIHC	SRP174991	SRP039694
LIHC	SRP174991	SRP076032
LIHC	SRP099053	TCGA-LIHC
LIHC	SRP099053	SRP068976
LIHC	SRP099053	SRP174991
LIHC	SRP099053	SRP062885
LIHC	SRP099053	SRP050551
LIHC	SRP099053	SRP118972
LIHC	SRP099053	SRP137150
LIHC	SRP099053	SRP161530
LIHC	SRP099053	SRP049592
LIHC	SRP099053	SRP102722
LIHC	SRP099053	SRP039694
LIHC	SRP099053	SRP076032
LIHC	SRP062885	TCGA-LIHC
LIHC	SRP062885	SRP068976
LIHC	SRP062885	SRP174991
LIHC	SRP062885	SRP099053
LIHC	SRP062885	SRP050551
LIHC	SRP062885	SRP118972
LIHC	SRP062885	SRP137150
LIHC	SRP062885	SRP161530
LIHC	SRP062885	SRP049592
LIHC	SRP062885	SRP102722
LIHC	SRP062885	SRP039694
LIHC	SRP062885	SRP076032
LIHC	SRP050551	TCGA-LIHC
LIHC	SRP050551	SRP068976
LIHC	SRP050551	SRP174991
LIHC	SRP050551	SRP099053
LIHC	SRP050551	SRP062885
LIHC	SRP050551	SRP118972
LIHC	SRP050551	SRP137150
LIHC	SRP050551	SRP161530
LIHC	SRP050551	SRP049592
LIHC	SRP050551	SRP102722
LIHC	SRP050551	SRP039694
LIHC	SRP050551	SRP076032
LIHC	SRP118972	TCGA-LIHC
LIHC	SRP118972	SRP068976
LIHC	SRP118972	SRP174991
LIHC	SRP118972	SRP099053
LIHC	SRP118972	SRP062885
LIHC	SRP118972	SRP050551
LIHC	SRP118972	SRP137150
LIHC	SRP118972	SRP161530
LIHC	SRP118972	SRP049592
LIHC	SRP118972	SRP102722
LIHC	SRP118972	SRP039694
LIHC	SRP118972	SRP076032
LIHC	SRP137150	TCGA-LIHC
LIHC	SRP137150	SRP068976
LIHC	SRP137150	SRP174991
LIHC	SRP137150	SRP099053
LIHC	SRP137150	SRP062885
LIHC	SRP137150	SRP050551
LIHC	SRP137150	SRP118972
LIHC	SRP137150	SRP161530
LIHC	SRP137150	SRP049592
LIHC	SRP137150	SRP102722
LIHC	SRP137150	SRP039694
LIHC	SRP137150	SRP076032
LIHC	SRP161530	TCGA-LIHC
LIHC	SRP161530	SRP068976
LIHC	SRP161530	SRP174991
LIHC	SRP161530	SRP099053
LIHC	SRP161530	SRP062885
LIHC	SRP161530	SRP050551
LIHC	SRP161530	SRP118972
LIHC	SRP161530	SRP137150
LIHC	SRP161530	SRP049592
LIHC	SRP161530	SRP102722
LIHC	SRP161530	SRP039694
LIHC	SRP161530	SRP076032
LIHC	SRP049592	TCGA-LIHC
LIHC	SRP049592	SRP068976
LIHC	SRP049592	SRP174991
LIHC	SRP049592	SRP099053
LIHC	SRP049592	SRP062885
LIHC	SRP049592	SRP050551
LIHC	SRP049592	SRP118972
LIHC	SRP049592	SRP137150
LIHC	SRP049592	SRP161530
LIHC	SRP049592	SRP102722
LIHC	SRP049592	SRP039694
LIHC	SRP049592	SRP076032
LIHC	SRP102722	TCGA-LIHC
LIHC	SRP102722	SRP068976
LIHC	SRP102722	SRP174991
LIHC	SRP102722	SRP099053
LIHC	SRP102722	SRP062885
LIHC	SRP102722	SRP050551
LIHC	SRP102722	SRP118972
LIHC	SRP102722	SRP137150
LIHC	SRP102722	SRP161530
LIHC	SRP102722	SRP049592
LIHC	SRP102722	SRP039694
LIHC	SRP102722	SRP076032
LIHC	SRP039694	TCGA-LIHC
LIHC	SRP039694	SRP068976
