arm	cancer_type	discovery	replication	seed	n_common	n_dis_tested	n_rep_tested	n_dis_joint	n_rep_joint	rep_joint	repdir_joint	n_dis_fdr	n_rep_fdr	rep_fdr	repdir_fdr	n_dis_lfc	n_rep_lfc	rep_lfc	repdir_lfc	n_dis_topp100	n_rep_topp100	rep_topp100	repdir_topp100	n_dis_topp500	n_rep_topp500	rep_topp500	repdir_topp500	n_dis_topfc100	n_rep_topfc100	rep_topfc100	repdir_topfc100	n_dis_topfc500	n_rep_topfc500	rep_topfc500	repdir_topfc500	gene_sign_conc	gene_bothsig_fdr	gene_bothsig_sign	pi1	rep_median_abs_lfc	dis_median_abs_lfc	lfc_shrinkage	spearman_lfc	spearman_stat	pearson_lfc	global_sign_conc	status
cross_full	BRCA	SRP157974	SRP023262	-1	14173	16585	14373	2542	1485	0.3493312352478363	0.3269079464988198	11407	4000	0.30200753923029716	0.2675550100815289	2542	1516	0.3583792289535799	0.3324154209284028	100	100	0.03	0.03	500	500	0.186	0.186	100	100	0.23	0.22	500	500	0.348	0.34	0.8587726199842644	0.5672698662470496	0.536191974822974	0.7797010228166797	0.7585597343904706	1.4428685496124118	0.47426968687186544	0.5396213967694162	0.5490751951062255	0.5740934672623081	0.6947011924080999	ok
cross_full	BRCA	SRP157974	SRP116023	-1	16344	16585	16739	3334	2820	0.45980803839232154	0.4298140371925615	13132	7757	0.49307036247334757	0.40945781297593664	3334	2912	0.4772045590881824	0.4439112177564487	100	100	0.04	0.04	500	500	0.186	0.186	100	100	0.32	0.32	500	500	0.316	0.314	0.8599280143971205	0.6514697060587883	0.6067786442711458	0.8162867426514697	0.9576494160871498	1.486098842374985	0.3555950729652021	0.5152638971402091	0.5198351960658424	0.5974873943068927	0.6784752814488497	ok
cross_full	BRCA	SRP157974	SRP062132	-1	16492	16585	17037	3418	5	0.001462843768285547	0.0011702750146284377	13262	5	0.0003770170411702609	0.0003016136329362087	3418	209	0.047396138092451724	0.03247513165593915	100	100	0.0	0.0	500	500	0.022	0.022	100	5	0.0	0.0	500	5	0.006	0.004	0.7703335283791691	0.001462843768285547	0.0011702750146284377	0.28028086600351054	0.2895992876897706	1.4928074235042201	0.8060035855060498	0.4333387737310996	0.43565702768764425	0.37860612490400863	0.6558937666747514	ok
cross_full	BRCA	SRP157974	SRP156355	-1	16536	16585	17666	3475	1606	0.3082014388489209	0.300431654676259	13311	3165	0.21508526782360454	0.2065209225452633	3475	2159	0.40172661870503595	0.3818705035971223	100	100	0.03	0.03	500	500	0.208	0.208	100	100	0.29	0.29	500	500	0.378	0.372	0.8776978417266187	0.3951079136690647	0.3864748201438849	0.7251798561151079	0.8367985061211299	1.5021905150699981	0.4429478167207458	0.6254061228074177	0.6461938414167351	0.6553255942714231	0.7337929366231253	ok
cross_full	LIHC	SRP068976	SRP049592	-1	15956	16012	16728	3764	4124	0.5233793836344315	0.48007438894792775	10943	7900	0.5270949465411678	0.45673032989125467	3764	4297	0.5504782146652497	0.5005313496280552	100	100	0.01	0.01	500	500	0.09	0.088	100	100	0.26	0.26	500	500	0.292	0.288	0.8358129649309245	0.6668437832093518	0.6118490967056323	0.8126992561105206	1.1156224361673566	1.5249348921676118	0.26841307002847836	0.5306014446434014	0.5268244390108915	0.5619237191257916	0.6886437703685134	ok
cross_full	LIHC	SRP068976	SRP102722	-1	15376	16012	15433	3493	60	0.015173203549957057	0.000286286859433152	10580	66	0.0060491493383742915	9.45179584120983e-05	3493	992	0.22273117663899228	0.007443458345261953	100	100	0.02	0.0	500	500	0.15	0.0	100	66	0.11	0.0	500	66	0.064	0.0	0.11795018608645863	0.015173203549957057	0.000286286859433152	0.5190380761523044	0.5784424661485974	1.5036778681583538	0.6153149032797489	-0.6258602536501043	-0.6232266627882936	-0.6638636485835312	0.2685353798126951	ok
cross_full	LIHC	SRP068976	SRP039694	-1	15980	16012	16625	3793	1764	0.36409174795676247	0.363037173741102	10970	2960	0.24749316317228806	0.24658158614402917	3794	2679	0.5287295730100158	0.5231945176594623	100	100	0.04	0.04	500	500	0.3	0.3	100	100	0.36	0.36	500	500	0.542	0.542	0.9475349327708937	0.4439757447930398	0.4429211705773794	0.8513050355918796	1.0542207258483043	1.5347207089095793	0.3130862705323568	0.7595845942152774	0.772858288521899	0.8099157997588954	0.7896120150187734	ok
cross_full	LIHC	SRP068976	SRP076032	-1	13226	16012	13305	2583	208	0.05884630274874177	0.05845915602013163	9106	375	0.03821656050955414	0.03766747199648583	2583	511	0.13201703445605883	0.12930700735578785	100	100	0.04	0.04	500	500	0.164	0.164	100	100	0.14	0.14	500	375	0.144	0.144	0.8819202477739063	0.08904374758033294	0.0886566008517228	0.6221447928765	0.5233974984498857	1.4287316958202805	0.6336628493781777	0.5780952803099243	0.5898702767054492	0.597579422267137	0.7127627400574625	ok
cross_full	ESCA	TCGA-ESCA	SRP064894	-1	16390	17634	16426	3239	3675	0.4686631676443347	0.4146341463414634	6934	6559	0.47303143928468416	0.4232766080184598	3512	3916	0.5074031890660592	0.4271070615034169	100	100	0.05	0.05	500	500	0.08	0.078	100	100	0.31	0.3	500	500	0.272	0.25	0.7934547699907378	0.5486261191725841	0.488731089842544	0.7375733251003396	1.0059511235188243	1.668906039254989	0.3972392094836641	0.453089597931008	0.48421664782790586	0.4249109504600853	0.6702867602196462	ok
cross_full	ESCA	SRP099599	TCGA-ESCA	-1	1623	1626	17634	262	371	0.41603053435114506	0.2480916030534351	807	732	0.44609665427509293	0.3135068153655514	268	399	0.4962686567164179	0.30597014925373134	100	100	0.11	0.11	500	500	0.29	0.24	100	100	0.24	0.15	500	500	0.418	0.278	0.5114503816793893	0.46564885496183206	0.2862595419847328	0.5896946564885497	0.9698204221883326	1.5023288966365	0.35445532309228545	0.17786338140130045	0.23077580062607864	0.16184657552210613	0.574245224892175	ok
cross_full	ESCA	SRP099599	ERP013206	-1	1587	1626	15593	252	565	0.873015873015873	0.8492063492063492	792	1109	0.8055555555555556	0.7815656565656566	255	565	0.8745098039215686	0.8509803921568627	100	100	0.2	0.2	500	500	0.552	0.544	100	100	0.49	0.49	500	500	0.668	0.654	0.9444444444444444	0.9444444444444444	0.9126984126984127	0.99999999	2.607332999098057	1.4948870437621278	-0.7441672332220348	0.7299457664630609	0.7201879065806225	0.7553548763232015	0.7800882167611847	ok
cross_full	ESCA	SRP099599	SRP064894	-1	1586	1626	16426	251	385	0.5896414342629482	0.5179282868525896	787	679	0.5324015247776366	0.48284625158831	257	401	0.6147859922178989	0.5214007782101168	100	100	0.29	0.29	500	500	0.49	0.46	100	100	0.46	0.44	500	500	0.54	0.482	0.7928286852589641	0.6334661354581673	0.549800796812749	0.8007968127490039	1.2887129333428238	1.5009292912443002	0.14138997695590627	0.5282773543069069	0.5636610584304326	0.6039801074346703	0.7036569987389659	ok
cross_full	COAD	SRP119775	TCGA-COAD	-1	16437	17321	16566	2729	4247	0.8200806156101136	0.8193477464272627	6468	12221	0.8990414347557205	0.8871366728509585	2900	4247	0.8103448275862069	0.8079310344827586	100	100	0.41	0.41	500	500	0.428	0.428	100	100	0.45	0.45	500	500	0.604	0.604	0.976181751557347	0.9417368999633565	0.9358739465005497	0.9622290498069171	1.7765237764913515	1.4899270330336474	-0.19235622758932247	0.7897911738113047	0.7944908483575774	0.8348374627465645	0.796799902658636	ok
cross_full	COAD	SRP119775	SRP029880	-1	16322	17321	16445	2754	2879	0.6525054466230937	0.6285403050108932	6491	9022	0.7850870435988292	0.7695270374364505	2906	2915	0.6551961459050241	0.6276668960770819	100	100	0.19	0.19	500	500	0.306	0.306	100	100	0.07	0.07	500	500	0.418	0.412	0.9353667392883079	0.8496732026143791	0.8228031953522149	0.9394819656257565	1.273043492809729	1.4997549434648971	0.15116566319254443	0.7495981120847179	0.7638046925331321	0.643619928614255	0.7939590736429359	ok
cross_full	ESCA	TCGA-ESCA	SRP099599	-1	1623	17634	1626	371	262	0.29380053908355797	0.1752021563342318	732	807	0.4918032786885246	0.34562841530054644	399	268	0.3333333333333333	0.20551378446115287	100	100	0.11	0.11	500	500	0.29	0.24	100	100	0.24	0.15	500	500	0.418	0.278	0.6415094339622641	0.5741239892183289	0.3908355795148248	0.7160826594788858	0.6707788304683463	1.6608188453634172	0.5961155954239141	0.17786338140130045	0.23077580062607864	0.16184657552210613	0.574245224892175	ok
cross_full	ESCA	TCGA-ESCA	ERP013206	-1	15569	17634	15593	2846	5477	0.6026001405481377	0.2297962052002811	6506	10902	0.6858284660313557	0.3157085766984322	3091	5486	0.6279521190553219	0.23778712390812035	100	100	0.0	0.0	500	500	0.01	0.002	100	100	0.07	0.06	500	500	0.24	0.114	0.4479971890372453	0.7772312016865777	0.3264230498945889	0.8727258530491138	1.4250569243215845	1.6077670854061568	0.1136421828404428	-0.09269569472981996	-0.07399934792622587	-0.11935756504881792	0.48179073800500993	ok
cross_full	BRCA	SRP062132	SRP058722	-1	16389	17037	16567	4	6225	1.0	1.0	4	10380	1.0	1.0	227	6304	0.8458149779735683	0.47577092511013214	100	100	0.0	0.0	500	500	0.028	0.024	4	100	0.0	0.0	4	500	0.0	0.0								0.10736984487247421	0.10606981252229843	0.13443353086244803	0.5260235523826957	ok
cross_full	BRCA	SRP062132	SRP023262	-1	14282	17037	14373	2	1524	1.0	1.0	2	4046	1.0	1.0	131	1556	0.5954198473282443	0.4961832061068702	100	100	0.0	0.0	500	500	0.058	0.056	2	100	0.5	0.5	2	500	0.5	0.5								0.4222517866128631	0.3917130333566527	0.43579379831610615	0.6383559725528637	ok
