arm	cancer_type	discovery	replication	seed	n_common	n_dis_tested	n_rep_tested	n_dis_joint	n_rep_joint	rep_joint	repdir_joint	n_dis_fdr	n_rep_fdr	rep_fdr	repdir_fdr	n_dis_lfc	n_rep_lfc	rep_lfc	repdir_lfc	n_dis_topp100	n_rep_topp100	rep_topp100	repdir_topp100	n_dis_topp500	n_rep_topp500	rep_topp500	repdir_topp500	n_dis_topfc100	n_rep_topfc100	rep_topfc100	repdir_topfc100	n_dis_topfc500	n_rep_topfc500	rep_topfc500	repdir_topfc500	gene_sign_conc	gene_bothsig_fdr	gene_bothsig_sign	pi1	rep_median_abs_lfc	dis_median_abs_lfc	lfc_shrinkage	spearman_lfc	spearman_stat	pearson_lfc	global_sign_conc	status
cross_m10	BRCA	TCGA-BRCA	SRP062132	2	16675	17081	17037	3846	7	0.0005200208008320333	0.0005200208008320333	5605	7	0.0003568242640499554	0.0003568242640499554	4676	429	0.06159110350727117	0.038922155688622756	100	100	0.01	0.0	500	500	0.03	0.024	100	7	0.01	0.01	500	7	0.002	0.002	0.5912636505460218	0.0005200208008320333	0.0005200208008320333	0.0	0.2194526230629698	1.8462521055546162	0.8811361555647104	0.12179038182752912	0.08576080168573127	0.1161975116098217	0.5210794602698651	ok
cross_m10	BRCA	TCGA-BRCA	SRP062132	3	16675	17081	17037	4043	5	0.0002473410833539451	0.0002473410833539451	7109	5	0.0002813335208890139	0.00014066676044450696	4582	473	0.06416412047140986	0.02640768223483195	100	100	0.0	0.0	500	500	0.014	0.002	100	5	0.01	0.01	500	5	0.002	0.002	0.4652485777887707	0.0002473410833539451	0.0002473410833539451	0.0	0.23786296741258095	1.7713723315660956	0.8657182551777339	-0.051431699259801573	-0.0491645953618222	-0.056053884764618776	0.48071964017991003	ok
cross_m10	BRCA	TCGA-BRCA	SRP062132	4	16675	17081	17037	2922	6	0.001026694045174538	0.001026694045174538	4477	8	0.0008934554389099843	0.0008934554389099843	3715	582	0.12086137281292059	0.11197846567967698	100	100	0.01	0.01	500	500	0.074	0.074	100	8	0.01	0.01	500	8	0.004	0.004	0.7919233401779603	0.0013689253935660506	0.0013689253935660506	0.42847364818617373	0.4043111847011882	1.7810272874773745	0.7729898988387485	0.41139647650617855	0.4085862279616152	0.4744506936474982	0.6401799100449775	ok
cross_m10	BRCA	TCGA-BRCA	SRP156355	0	16955	17081	18022	3850	1356	0.22415584415584416	0.22	6872	2124	0.19935972060535506	0.1968859138533178	4442	2300	0.3469158036920306	0.3214768122467357	100	100	0.05	0.05	500	500	0.168	0.168	100	100	0.28	0.27	500	500	0.336	0.328	0.8831168831168831	0.2755844155844156	0.27116883116883117	0.6548340548340548	0.7406038134166604	1.7056550760566425	0.565795087287586	0.5584816686052738	0.5700927131563823	0.590528387988637	0.6998525508699499	ok
cross_m10	BRCA	SRP218935	SRP062132	2	16812	17058	17037	2845	6	0.00140597539543058	0.00070298769771529	5450	6	0.0007339449541284404	0.0003669724770642202	3287	421	0.076057195010648	0.05141466382719805	100	100	0.0	0.0	500	500	0.01	0.008	100	6	0.0	0.0	500	6	0.008	0.004	0.5792618629173989	0.00140597539543058	0.00070298769771529	0.0	0.2472256249472187	1.5132426755701809	0.8366252624655424	0.11962730462273125	0.11428218905053425	0.11920398538366622	0.5368784201760647	ok
cross_m10	BRCA	SRP218935	SRP062132	3	16812	17058	17037	3108	5	0.0006435006435006435	0.0006435006435006435	6446	5	0.00031026993484331366	0.00031026993484331366	3449	465	0.07132502174543345	0.028703972165845172	100	100	0.0	0.0	500	500	0.03	0.01	100	5	0.01	0.01	500	5	0.002	0.002	0.4942084942084942	0.0006435006435006435	0.0006435006435006435	0.0	0.23362985436973344	1.4526145634299883	0.8391659699335008	0.011527074666073245	0.03409403824940106	-0.04392118006824792	0.518498691410897	ok
cross_m10	BRCA	SRP218935	SRP062132	4	16812	17058	17037	2725	6	0.0003669724770642202	0.0003669724770642202	5669	8	0.0007055918151349444	0.0007055918151349444	3104	591	0.12725515463917525	0.11146907216494846	100	100	0.03	0.03	500	500	0.076	0.076	100	8	0.0	0.0	500	8	0.002	0.002	0.7977981651376147	0.0007339449541284404	0.0007339449541284404	0.40550458715596316	0.4309000516879822	1.504675053793753	0.7136258419374009	0.4555093454091208	0.4622311813369182	0.4624937052221649	0.664108969783488	ok
cross_m10	BRCA	SRP218935	SRP156355	0	16982	17058	18022	2738	1364	0.3002191380569759	0.29912344777209643	4796	2132	0.2756463719766472	0.274395329441201	3386	2321	0.43325457767277026	0.4122858830478441	100	100	0.03	0.03	500	500	0.18	0.18	100	100	0.29	0.29	500	500	0.344	0.34	0.9265887509130752	0.36486486486486486	0.36340394448502555	0.7753834915997078	0.9039695818334319	1.5540938412001468	0.41833011761030936	0.6461855075345683	0.6731525203916724	0.65406695550829	0.7497938994229184	ok
cross_m10	BRCA	SRP157974	SRP218935	3	16554	16585	17058	4703	3071	0.4463108654050606	0.44333404210078675	8658	6407	0.49006699006699006	0.47493647493647495	4934	3371	0.47952979327117956	0.472233481961897	100	100	0.39	0.39	500	500	0.43	0.43	100	100	0.45	0.45	500	500	0.554	0.554	0.9047416542632363	0.5792047629172868	0.5751647884329152	0.7831171592600467	0.957795087266237	1.7022444162279333	0.43733398204433493	0.6357904592107394	0.6230537659994498	0.7391679300379989	0.6983206475776248	ok
cross_m10	BRCA	SRP157974	SRP218935	4	16554	16585	17058	3136	2662	0.5165816326530612	0.5146683673469388	6364	5606	0.4989000628535512	0.4968573224387178	3506	3005	0.5693097547062179	0.5601825442099259	100	100	0.1	0.1	500	500	0.204	0.204	100	100	0.27	0.26	500	500	0.48	0.478	0.9499362244897959	0.626594387755102	0.6243622448979592	0.8724489795918366	1.1323655246281137	1.551410519609534	0.27010580996117484	0.6824024139650428	0.6631808669681469	0.7384829181623198	0.7295517699649632	ok
